Assembly	DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_scaffolds	DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_scaffolds	DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_scaffolds	DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_scaffolds	DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_scaffolds	DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_scaffolds	DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_scaffolds	DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_scaffolds	DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_scaffolds	DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_scaffolds	DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_scaffolds	DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_scaffolds	DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_scaffolds	DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_scaffolds	DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_scaffolds	DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_scaffolds	DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_scaffolds	DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_scaffolds
# contigs (>= 0 bp)	2253053	2351897	2387088	2103237	3055298	1621130	1411828	2735370	1687195	1706508	1766218	2213832	2562568	2043101	2184125	2075529	2001937	1713830
# contigs (>= 1000 bp)	83982	120618	175788	168886	282271	171310	119302	215951	153167	190951	155736	133796	153715	163610	105523	148754	115480	65048
# contigs (>= 5000 bp)	2059	3485	9209	8026	18929	18744	11724	13471	11937	25370	10227	4929	5696	13010	2838	11576	4214	3384
# contigs (>= 10000 bp)	524	751	2271	1974	6289	6089	4275	3796	3285	9215	2816	609	1574	3240	662	3627	1190	620
# contigs (>= 25000 bp)	92	169	282	465	1679	1240	1074	734	617	2516	611	9	265	594	62	870	345	70
# contigs (>= 50000 bp)	19	47	73	163	662	444	392	227	198	986	178	1	52	200	4	328	175	26
Total length (>= 0 bp)	1022369914	1137577164	1305472378	1173153100	1920681343	1147512080	918137974	1554376904	1046127583	1346783427	1055274390	1105303097	1304952296	1188019968	1033723457	1203201371	1033450365	786026666
Total length (>= 1000 bp)	148452784	232967982	376909490	370251219	737045184	536369009	374855436	508797368	404224892	706119621	381226436	257025249	304886871	410150282	188561620	404719323	255191341	140075718
Total length (>= 5000 bp)	20108300	41983312	93457464	88310199	275377563	248477411	179666686	150878680	147233299	388195271	120240020	36247472	62599783	135442332	25059334	161591615	72203574	33761666
Total length (>= 10000 bp)	10067642	23934320	46940498	48403686	190024481	162330338	128937712	86096122	89042422	277585158	70895175	8120082	34924746	69648334	10593671	107995243	51983886	15584737
Total length (>= 25000 bp)	3793795	15792158	18687701	26333476	122491425	91604695	81451198	42079038	51080044	179048058	39114040	299388	16153513	32544453	2150137	68201219	39744647	8116332
Total length (>= 50000 bp)	1319771	11576111	11733069	16096599	87806569	64641326	58387359	24899186	36821877	127118324	24493973	57730	8876935	19115074	236046	49534475	33853182	6672530
# contigs	472985	539078	665045	573132	932712	492341	406389	743148	484462	534638	505005	532901	654522	547745	496850	546727	498185	319807
Largest contig	127706	3592331	1200093	525032	4530187	3269223	5950039	650714	5279787	1340065	4321206	57730	2968994	608614	76838	1853650	1495579	963199
Total length	402927859	509485678	703548347	640796693	1174552795	752187251	566056849	861124882	626072043	937058904	615124344	521403355	637433012	665880529	446582724	669010668	508716923	305590057
GC (%)	62.61	63.38	60.70	60.84	62.85	63.98	63.37	61.62	61.20	63.67	62.76	60.41	63.11	61.49	60.84	62.23	62.96	58.51
N50	806	923	1081	1200	1423	2229	1819	1259	1545	3192	1385	985	959	1395	873	1366	1003	913
N75	609	642	686	716	764	895	794	724	779	1012	752	657	654	741	629	728	662	627
L50	143466	143314	151592	123221	155044	58546	48685	145781	78480	45671	92480	137502	167843	97470	142807	87974	114649	78386
L75	289102	311921	360877	300874	448121	200720	175411	378966	227653	187645	248975	302904	372986	268381	295907	263907	274485	181903
# N's per 100 kbp	30.28	45.65	36.35	58.92	295.74	66.46	38.73	62.04	33.81	60.79	133.73	40.72	36.02	36.94	29.70	38.26	39.50	10.64
